co_nr,communities,Latitude,Longitude
247.0,Al Qusais Industrial Fourth,25.295330000000035,55.396750000000054
243.0,Al Qusais Industrial Second,25.290260000000046,55.39364000000006
246.0,Al Qusais Industrial Third,25.29585000000003,55.39540000000005
233.0,Al Qusais Second,25.265630000000044,55.38771000000003
234.0,Al Qusais Third,25.260640000000024,55.396430000000066
316.0,Al Raffa,25.257300000000043,55.28670000000005
112.0,Al Ras,25.267580000000066,55.29459000000003
216.0,Al Rashidiya,25.225430000000074,55.39009000000004
119.0,Al Rigga,25.267060000000072,55.30890000000005
115.0,Al Sabkha,25.268950000000075,55.30257000000006
353.0,Al Safa First,25.17793000000006,55.23422000000005
357.0,Al Safa Second,25.166330000000073,55.23183000000006
372.0,Al Safouh First,25.113690000000076,55.175470000000075
382.0,Al Safouh Second,25.094130000000064,55.15643000000006
334.0,Al Satwa,25.22583000000003,55.28081000000003
311.0,Al Shindagha,25.269900000000064,55.28984000000003
312.0,Al Souq Al Kabeer,25.26004000000006,55.294980000000066
226.0,Al Twar First,25.26800000000003,55.36922000000004
227.0,Al Twar Second,25.26141000000007,55.38141000000007
228.0,Al Twar Third,25.24986000000007,55.396330000000034
425.0,Al Warqa'a Fifth,25.192160000000058,55.449370000000044
421.0,Al Warqa'a First,25.194090000000074,55.40157000000005
424.0,Al Warqa'a Fourth,25.189170000000047,55.44016000000005
422.0,Al Warqa'a Second,25.195110000000057,55.40933000000007
423.0,Al Warqa'a Third,25.193440000000066,55.424570000000074
343.0,Al Wasl,25.191810000000032,55.25783000000007
132.0,Al Waheda,25.29173000000003,55.338220000000035
116.0,Ayal Nasir,25.272550000000024,55.30313000000007
283.0,Aleyas,25.202920000000063,55.526260000000036
346.0,Business Bay,25.187970000000064,55.26273000000003
611.0,Bu Kadra,25.18142000000006,55.32889000000006
,Downtown Dubai,25.18757123863404,55.271451235475986
598.0,Dubai Investment park First,25.00777000000005,55.16484000000003
597.0,Dubai Investment Park Second,24.973430000000064,55.19563000000005
393.0,Emirates Hill First,25.054350000000056,55.15188000000006
388.0,Emirates Hill Second,25.085750000000075,55.163470000000075
394.0,Emirates Hill Third,25.068340000000035,55.17540000000008
891.0,Hatta,24.80051000000003,56.116400000000056
127.0,Hor Al Anz,25.27741000000003,55.33735000000007
133.0,Hor Al Anz East,25.278190000000052,55.34710000000007
383.0,Jebel Ali 1,25.04174000000006,55.10917000000006
384.0,Jebel Ali 2,25.04174000000006,55.10917000000006
599.0,Jebel Ali Industrial,24.950780000000066,55.09272000000004
50.0,Jebel Ali Palm,24.950780000000066,55.09272000000004
332.0,Jumeira First,25.21043000000003,55.25260000000003
381.0,Palm Jumeira,25.118586975454644,55.13288982459391
342.0,Jumeira Second,25.199430000000064,55.246830000000045
352.0,Jumeira Third,25.18074000000007,55.231610000000046
392.0,Marsa Dubai,25.090400000000045,55.14745000000005
251.0,Mirdif,25.226140000000044,55.42421000000007
245.0,Muhaisanah Fourth,25.276400000000024,55.40964000000008
264.0,Muhaisanah Second,25.265100000000075,55.42453000000006
244.0,Muhaisanah Third,25.271310000000028,55.40101000000004
261.0,Muhaisnah First,25.245390000000043,55.418900000000065
416.0,Nad Al Hammar,25.200990000000047,55.37640000000005
617.0,Nadd Al Shiba Fourth,25.13575000000003,55.36244000000005
615.0,Nadd Al Shiba Second,25.15411000000006,55.340230000000076
616.0,Nadd Al Shiba Third,25.143310000000042,55.37589000000003
213.0,Nad Shamma,25.221100000000035,55.37928000000005
118.0,Naif,25.271650000000022,55.30462000000006
129.0,Port Saeed,25.256210000000067,55.330700000000036
600.0,Arabian Ranches,25.057650000000024,55.27140000000003
268.0,Oud Al Muteena Third,25.27326000000005,55.44738000000007
411.0,Ras Al Khor,25.185190000000034,55.33039000000008
612.0,Ras Al Khor Industrial First,25.182240000000036,55.345920000000035
613.0,Ras Al Khor Industrial Second,25.184650000000033,55.36232000000007
614.0,Ras Al Khor Industrial Third,25.176270000000045,55.36839000000003
125.0,Rigga Al Buteen,25.262020000000064,55.31647000000004
335.0,Trade Centre 1,25.223640000000046,55.28152000000006
336.0,Trade Centre 2,25.219010000000026,55.283750000000055
367.0,Umm Al Sheif,25.126670000000047,55.198300000000074
314.0,Umm Hurair First,25.258120000000076,55.308170000000075
315.0,Umm Hurair Second,25.24033000000003,55.32371000000006
215.0,Umm Ramool,25.23159000000004,55.37724000000003
356.0,Umm Suqeim First,25.162330000000054,55.21561000000003
362.0,Umm Suqeim Second,25.152590000000032,55.20044000000007
366.0,Umm Suqeim Third,25.135080000000073,55.197880000000055
271.0,Wadi Alamardi,25.217030000000022,55.48636000000005
621.0,Warsan First,25.17685000000006,55.41082000000006
622.0,Warsan Second,25.170250000000067,55.444990000000075
816.0,Yaraah,24.725150000000042,55.621560000000045
325.0,Za'abeel First,25.225760000000037,55.29937000000007
337.0,Za'abeel Second,25.20831000000004,55.279360000000054
