co-nr,communities,Latitude,Longitude,Average rent sq.ft/AED
358.0,Al Quoz Third,25.160910000000100,55.23487000000010,140
232.0,Al Qusais First,25.28001000000010,55.36860000000010,140
248.0,Al Qusais Industrial Fifth,25.29170000000010,55.40556000000000,87
242.0,Al Qusais Industrial First,25.291760000000100,55.386610000000100,87
247.0,Al Qusais Industrial Fourth,25.295330000000000,55.396750000000100,87
243.0,Al Qusais Industrial Second,25.290260000000000,55.39364000000010,87
246.0,Al Qusais Industrial Third,25.29585000000000,55.39540000000010,87
233.0,Al Qusais Second,25.265630000000000,55.38771000000000,87
234.0,Al Qusais Third,25.260640000000000,55.396430000000100,87
316.0,Al Raffa,25.257300000000000,55.28670000000010,160
112.0,Al Ras,25.267580000000100,55.29459000000000,230
216.0,Al Rashidiya,25.225430000000100,55.39009000000000,100
119.0,Al Rigga,25.267060000000100,55.30890000000010,143
115.0,Al Sabkha,25.268950000000100,55.30257000000010,270
353.0,Al Safa First,25.17793000000010,55.23422000000010,102
357.0,Al Safa Second,25.166330000000100,55.23183000000010,102
372.0,Al Safouh First,25.113690000000100,55.175470000000100,90
382.0,Al Safouh Second,25.094130000000100,55.15643000000010,100
334.0,Al Satwa,25.22583000000000,55.28081000000000,143
311.0,Al Shindagha,25.269900000000100,55.28984000000000,90
312.0,Al Souq Al Kabeer,25.26004000000010,55.294980000000100,118
226.0,Al Twar First,25.26800000000000,55.36922000000000,165
227.0,Al Twar Second,25.26141000000010,55.38141000000010,165
228.0,Al Twar Third,25.24986000000010,55.396330000000000,165
425.0,Al Warqa'a Fifth,25.192160000000100,55.449370000000000,112
421.0,Al Warqa'a First,25.194090000000100,55.40157000000010,112
424.0,Al Warqa'a Fourth,25.189170000000000,55.44016000000010,112
422.0,Al Warqa'a Second,25.195110000000100,55.40933000000010,112
423.0,Al Warqa'a Third,25.193440000000100,55.424570000000100,112
343.0,Al Wasl,25.191810000000000,55.25783000000010,82
132.0,Al Waheda,25.29173000000000,55.338220000000000,89
116.0,Ayal Nasir,25.272550000000000,55.30313000000010,191
283.0,Aleyas,25.202920000000100,55.526260000000000,84
346.0,Business Bay,25.187970000000100,55.26273000000000,82
611.0,Bu Kadra,25.18142000000010,55.32889000000010,82
,Downtown Dubai,25.18757123863400,55.271451235476000,280
598.0,Dubai Investment park First,25.00777000000010,55.16484000000000,100
597.0,Dubai Investment Park Second,24.973430000000100,55.19563000000010,100
393.0,Emirates Hill First,25.054350000000100,55.15188000000010,110
388.0,Emirates Hill Second,25.085750000000100,55.163470000000100,110
394.0,Emirates Hill Third,25.068340000000000,55.17540000000010,110
891.0,Hatta,24.80051000000000,56.116400000000100,90
127.0,Hor Al Anz,25.27741000000000,55.33735000000010,90
133.0,Hor Al Anz East,25.278190000000100,55.34710000000010,90
383.0,Jebel Ali 1,25.04174000000010,55.10917000000010,85
384.0,Jebel Ali 2,25.04174000000010,55.10917000000010,85
599.0,Jebel Ali Industrial,24.950780000000100,55.09272000000000,82
50.0,Jebel Ali Palm,24.950780000000100,55.09272000000000,85
332.0,Jumeira First,25.21043000000000,55.25260000000000,85
381.0,Palm Jumeira,25.118586975454600,55.13288982459390,220
342.0,Jumeira Second,25.199430000000100,55.246830000000000,220
352.0,Jumeira Third,25.18074000000010,55.231610000000000,220
392.0,Marsa Dubai,25.090400000000000,55.14745000000010,110
251.0,Mirdif,25.226140000000000,55.42421000000010,90
245.0,Muhaisanah Fourth,25.276400000000000,55.40964000000010,90
264.0,Muhaisanah Second,25.265100000000100,55.42453000000010,90
244.0,Muhaisanah Third,25.271310000000000,55.40101000000000,90
261.0,Muhaisnah First,25.245390000000000,55.418900000000100,90
416.0,Nad Al Hammar,25.200990000000000,55.37640000000010,100
617.0,Nadd Al Shiba Fourth,25.13575000000000,55.36244000000010,100
615.0,Nadd Al Shiba Second,25.15411000000010,55.340230000000100,100
616.0,Nadd Al Shiba Third,25.143310000000000,55.37589000000000,100
213.0,Nad Shamma,25.221100000000000,55.37928000000010,100
118.0,Naif,25.271650000000000,55.30462000000010,100
129.0,Port Saeed,25.256210000000100,55.330700000000000,130
600.0,Arabian Ranches,25.057650000000000,55.27140000000000,100
268.0,Oud Al Muteena Third,25.27326000000010,55.44738000000010,100
411.0,Ras Al Khor,25.185190000000000,55.33039000000010,90
612.0,Ras Al Khor Industrial First,25.182240000000000,55.345920000000000,90
613.0,Ras Al Khor Industrial Second,25.184650000000000,55.36232000000010,90
614.0,Ras Al Khor Industrial Third,25.176270000000000,55.36839000000000,90
125.0,Rigga Al Buteen,25.262020000000100,55.31647000000000,150
335.0,Trade Centre 1,25.223640000000000,55.28152000000010,170
336.0,Trade Centre 2,25.219010000000000,55.283750000000100,170
367.0,Umm Al Sheif,25.126670000000000,55.198300000000100,90
314.0,Umm Hurair First,25.258120000000100,55.308170000000100,85
315.0,Umm Hurair Second,25.24033000000000,55.32371000000010,95
215.0,Umm Ramool,25.23159000000000,55.37724000000000,90
356.0,Umm Suqeim First,25.162330000000100,55.21561000000000,90
362.0,Umm Suqeim Second,25.152590000000000,55.20044000000010,90
366.0,Umm Suqeim Third,25.135080000000100,55.197880000000100,87
271.0,Wadi Alamardi,25.217030000000000,55.48636000000010,85
621.0,Warsan First,25.17685000000010,55.41082000000010,82
622.0,Warsan Second,25.170250000000100,55.444990000000100,85
816.0,Yaraah,24.725150000000000,55.621560000000000,90
325.0,Za'abeel First,25.225760000000000,55.29937000000010,110
337.0,Za'abeel Second,25.20831000000000,55.279360000000100,110
